name	nome_nextstrain	latitude	longitude	DENV1_I	DENV1_III	DENV1_IV	DENV1_V	Total_DENV1	DENV2_I	DENV2_II	DENV2_III	DENV2_IV	DENV2_S	Total_DENV2	DENV3_I	DENV3_II	DENV3_III	DENV3_IV	Total_DENV3	DENV4_I	DENV4_II	Total_DENV4	Total_total
Zimbabwe	Zimbabwe	-19.015438	29.154857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Botswana	Botswana	-22.328474	24.684866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Namibia	Namibia	-22.95764	18.49041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senegal	Senegal	14.497401	-14.452362	0	3	0	0	3	0	14	0	0	0	14	0	0	12	0	12	1	1	2	31
Mali	Mali	17.570692	-3.996166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mauritania	Mauritania	21.00789	-10.940835	0	1	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	3
Benin	Benin	9.30769	2.315834	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2
Niger	Niger	17.607789	8.081666	0	0	0	0	0	0	3	0	0	0	3	0	0	1	0	1	0	0	0	4
Nigeria	Nigeria	9.081999	8.675277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cameroon	Cameroon	7.369722	12.354722	0	0	0	0	0	0	3	1	0	0	4	0	0	0	0	0	0	0	0	4
Togo	Togo	8.619543	0.824782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ghana	Ghana	7.946527	-1.023194	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	2
Côte d'Ivoire	#N/D	7.539989	-5.54708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guinea	Guinea	9.945587	-9.696645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guinea-Bissau	Guinea-Bissau	11.803749	-15.180413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liberia	Liberia	6.428055	-9.429499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sierra Leone	Sierra Leone	8.460555	-11.779889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkina Faso	Burkina Faso	12.238333	-1.561593	0	6	0	0	6	0	20	0	0	0	20	0	0	8	0	8	0	0	0	34
Central African Rep.	Central African Republic	6.611111	20.939444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Congo	Republic of Congo	-0.228021	15.827659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gabon	Gabon	-0.803689	11.609444	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0	5
Eq. Guinea	Guinea	9.945587	-9.696645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zambia	Zambia	-13.133897	27.849332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Malawi	Malawi	-13.254308	34.301525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mozambique	Mozambique	-18.665695	35.529562	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	1	0	0	0	3
eSwatini	#N/D			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Angola	Angola	-11.202692	17.873887	0	0	0	0	0	0	22	1	0	0	23	0	0	0	0	0	0	0	0	23
Burundi	Burundi	-3.373056	29.918886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Israel	Israel	31.046051	34.851612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lebanon	Lebanon	33.854721	35.862285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Madagascar	Madagascar	-18.766947	46.869107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Palestine	Palestine	31.952162	35.233154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gambia	Gambia	13.443182	-15.310139	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Tunisia	Tunisia	33.886917	9.537499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algeria	Algeria	28.033886	1.659626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jordan	Jordan	30.585164	36.238414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
United Arab Emirates	United Arab Emirates	23.424076	53.847818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Qatar	Qatar	25.354826	51.183884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kuwait	Kuwait	29.31166	47.481766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iraq	Iraq	33.223191	43.679291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oman	Oman	21.512583	55.923255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vanuatu	Vanuatu	-15.376706	166.959158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cambodia	Cambodia	12.565679	104.990963	71	0	0	0	71	0	40	4	33	0	77	0	46	0	0	46	21	0	21	215
Thailand	Thailand	15.870032	100.992541	260	0	0	0	260	0	9	2	446	0	457	1	445	52	0	498	399	2	401	1616
Laos	Laos	19.85627	102.495496	43	0	0	0	43	0	0	0	11	0	11	0	3	0	0	3	1	0	1	58
Myanmar	Myanmar	21.913965	95.956223	27	0	0	0	27	0	0	0	9	0	9	22	3	14	0	39	26	0	26	101
Vietnam	Vietnam	14.058324	108.277199	204	0	0	0	204	0	12	33	104	0	149	0	25	0	0	25	73	0	73	451
North Korea	North Korea	40.339852	127.510093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
South Korea	South Korea	35.907757	127.766922	2	1	1	0	4	0	3	0	0	0	3	0	0	0	0	0	0	0	0	7
Mongolia	Mongolia	46.862496	103.846656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
India	India	20.593684	78.96288	1	79	0	1	81	0	106	0	0	0	106	0	1	57	0	58	34	0	34	279
Bangladesh	Bangladesh	23.684994	90.356331	0	2	0	0	2	0	6	0	0	0	6	31	6	0	0	37	0	0	0	45
Bhutan	Bhutan	27.514162	90.433601	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	28	0	0	0	28
Nepal	Nepal	28.394857	84.124008	0	0	0	0	0	0	10	0	0	0	10	0	0	0	0	0	0	0	0	10
Pakistan	Pakistan	30.375321	69.345116	0	4	0	0	4	0	22	0	0	0	22	0	0	6	0	6	1	0	1	33
Afghanistan	Afghanistan	33.93911	67.709953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tajikistan	Tajikistan	38.861034	71.276093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kyrgyzstan	Kyrgyzstan	41.20438	74.766098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Turkmenistan	Turkmenistan	38.969719	59.556278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iran	Iran	32.427908	53.688046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syria	Syria	34.802075	38.996815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Armenia	Armenia	40.069099	45.038189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sweden	Sweden	60.128161	18.643501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belarus	Belarus	53.709807	27.953389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ukraine	Ukraine	48.379433	31.16558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poland	Poland	51.919438	19.145136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Austria	Austria	47.516231	14.550072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hungary	Hungary	47.162494	19.503304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moldova	Moldova	47.411631	28.369885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Romania	Romania	45.943161	24.96676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lithuania	Lithuania	55.169438	23.881275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Latvia	Latvia	56.879635	24.603189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Estonia	Estonia	58.595272	25.013607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Germany	Germany	51.165691	10.451526	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bulgaria	Bulgaria	42.733883	25.48583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Greece	Greece	39.074208	21.824312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Turkey	Turkey	38.963745	35.243322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Albania	Albania	41.153332	20.168331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Croatia	Croatia	45.1	15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Switzerland	Switzerland	46.818188	8.227512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Luxembourg	Luxembourg	49.815273	6.129583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belgium	Belgium	50.503887	4.469936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	Netherlands	52.132633	5.291266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Portugal	Portugal	39.399872	-8.224454	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Spain	Spain	40.463667	-3.74922	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1
Ireland	Ireland	53.41291	-8.24389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New Caledonia	New Caledonia	-20.904305	165.618042	53	0	12	0	65	2	4	0	0	0	6	6	0	0	0	6	0	5	5	82
Solomon Is.	Solomon Islands	-9.64571	160.156194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
New Zealand	New Zealand	-40.900557	174.885971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Australia	Australia	-25.274398	133.775136	2	0	0	0	2	0	7	0	0	0	7	3	1	0	0	4	0	0	0	13
Sri Lanka	Sri Lanka	7.873054	80.771797	23	11	0	0	34	0	51	0	0	0	51	12	1	13	0	26	23	0	23	134
China	China	35.86166	104.195397	224	41	15	0	280	0	236	0	19	0	255	34	22	46	0	102	17	18	35	672
Taiwan	Taiwan	23.69781	120.960515	4	0	3	0	7	0	55	1	0	0	56	1	13	1	0	15	0	1	1	79
Italy	Italy	41.87194	12.56738	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Denmark	Denmark	56.26392	9.501785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
United Kingdom	UK	55.378051	-3.435973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iceland	Iceland	64.963051	-19.020835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azerbaijan	Azerbaijan	40.143105	47.576927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	Georgia	42.315407	43.356892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Philippines	Philippines	12.879721	121.774017	0	0	14	0	14	0	20	0	0	0	20	2	0	0	3	5	2	1	3	42
Malaysia	Malaysia	4.210484	101.975766	13	1	0	0	14	0	21	0	0	1	22	3	0	10	0	13	0	19	19	68
Brunei	Brunei	4.535277	114.727669	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Slovenia	Slovenia	46.151241	14.995463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Finland	Finland	61.92411	25.748151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slovakia	Slovakia	48.669026	19.699024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Czechia	#N/D			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eritrea	Eritrea	15.179384	39.782334	1	1	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3
Japan	Japan	36.204824	138.252924	17	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	1	1	19
Paraguay	Paraguay	-23.442503	-58.443832	0	0	0	4	4	0	0	0	0	0	0	0	0	6	0	6	0	11	11	21
Yemen	Yemen	15.552727	48.516388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saudi Arabia	Saudi Arabia	23.885942	45.079162	1	1	0	0	2	0	2	0	0	0	2	0	0	2	0	2	0	0	0	6
Antarctica	Antarctica	-75.250973	-0.071389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N. Cyprus	Cyprus	35.126413	33.429859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyprus	Cyprus	35.126413	33.429859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morocco	Morocco	31.791702	-7.09262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Egypt	Egypt	26.820553	30.802498	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1
Libya	Libya	26.3351	17.228331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ethiopia	Ethiopia	9.145	40.489673	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1
Djibouti	Djibouti	11.825138	42.590275	0	1	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	3
Somaliland	Somalia	5.152149	46.199616	2	0	0	0	2	0	2	0	0	0	2	0	0	1	0	1	0	0	0	5
Uganda	Uganda	1.373333	32.290275	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1
Rwanda	Rwanda	-1.940278	29.873888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bosnia and Herz.	Bosnia and Herzegovina	43.915886	17.679076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
North Macedonia	North Macedonia	41.608635	21.745275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serbia	Serbia	44.016521	21.005859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Montenegro	Montenegro	42.708678	19.37439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kosovo	Kosovo	42.602636	20.902977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trinidad and Tobago	#N/D	10.691803	-61.222503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S. Sudan	Sudan	12.862807	30.217636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
